,Name,Address,Coordinates,street_number,Street,Area,City,Region,Country,Website,Phone,Type,Google_ID,Glovo_link,Monday Open time,Monday Close time,Tuesday Open time,Tuesday Close time,Wednesday Open time,Wednesday Close time,Thursday Open time,Thursday Close time,Friday Open time,Friday Close time,Saturday Open time,Saturday Close time,Sunday Open time,Sunday Close time,Average price,Overall price level
132,Fugazzeta,"проспект Червоної Калини, 66а, Львів","{'lat': 49.7906337, 'lng': 24.0580325}",66а,проспект Червоної Калини,Сихівський,Львів,Львівська,Україна,https://fugazzeta.com.ua/,+380 73 533 7733,Ресторан,ChIJYZR0ksPpOkcRaciGY1FcE9M,https://glovoapp.com/ua/uk/lviv/fugazzeta-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,281.0,High
133,Emily Brooklyn Pizza,"вулиця Кульпарківська, 226А, Львів","{'lat': 49.8074658, 'lng': 23.9783576}",226А,вулиця Кульпарківська,Залізничний,Львів,Львівська,Україна,https://www.emily.ua/,+380 67 699 6521,Ресторан,ChIJ6ZExR6DnOkcR2g5wZUprBK8,https://glovoapp.com/ua/uk/lviv/emily-brooklyn-pizza-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,,High
134,Teddy,"вулиця Чайковського, 20, Львів","{'lat': 49.83679009999999, 'lng': 24.0280592}",20,вулиця Чайковського,Галицький,Львів,Львівська,Україна,https://cukor.lviv.ua/,+380 93 290 0793,Ресторан,ChIJV7_M5sbdOkcRpv0hN2fM_TU,https://glovoapp.com/ua/uk/lviv/teddylvi/,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,22:00:00,247.0,High
135,Celentano Ristorante,"вул. Галицька, 1, площа Ринок, 21, Львів","{'lat': 49.84101049999999, 'lng': 24.031225}",21,площа Ринок,Галицький,Львів,Львівська,Україна,http://rynok.celentano.delivery/,+380 67 327 4342,Доставка,ChIJ03QLym3dOkcReD-YTX4jdGM,https://glovoapp.com/ua/uk/lviv/celentanoistorantelvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,235.0,High
136,Cukor Black/ Цукор Black,"проїзд Крива Липа, 3, Львів","{'lat': 49.8404607, 'lng': 24.0266651}",3,проїзд Крива Липа,Галицький,Львів,Львівська,Україна,http://cukor.lviv.ua/,+380 98 679 8225,Ресторан,ChIJa4xG_nHdOkcR0mHinp3BnIc,https://glovoapp.com/ua/uk/lviv/cukor-black-lvi/,08:30:00,18:00:00,08:30:00,18:00:00,08:30:00,18:00:00,08:30:00,18:00:00,08:30:00,18:00:00,08:30:00,19:00:00,08:30:00,19:00:00,259.0,High
138,AYDA/АЙДА,"вулиця Шевченка, 19, Львів","{'lat': 49.845144, 'lng': 24.0079577}",19,вулиця Шевченка,Залізничний,Львів,Львівська,Україна,https://ayda.lviv.ua/delivery,+380 67 705 3525,Ресторан,ChIJY2QzOjbdOkcR6ySet09P658,https://glovoapp.com/ua/uk/lviv/ajda-lvi/,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,113.0,Medium-Low
139,Khinkalnya (Forum),"ТЦ Forum Lviv, 3 поверх, вулиця Під Дубом, 7 Б, Львів","{'lat': 49.8496578, 'lng': 24.0231956}",7 Б,вулиця Під Дубом,Галицький,Львів,Львівська,Україна,http://hinkalnya.com.ua/,+380 97 715 7157,Ресторан,ChIJBSX-rAvdOkcR438XgL-0OfU,https://glovoapp.com/ua/uk/lviv/khinkalnya-forum-lvi/,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,106.0,Low
140,Uni Force,"вулиця Мельника, 18, Львів","{'lat': 49.8298498, 'lng': 24.0039774}",18,вулиця Мельника,Франківський,Львів,Львівська,Україна,https://uniforce.ua/,+380 322 882 828,Інше,ChIJDZGvR1jdOkcR-qWxBgVFH9Y,https://glovoapp.com/ua/uk/lviv/uni-force-lvi/,07:00:00,22:00:00,07:00:00,22:00:00,07:00:00,22:00:00,07:00:00,22:00:00,07:00:00,22:00:00,08:00:00,20:00:00,08:00:00,18:00:00,171.0,Medium-High
141,YOKI,"вулиця Академіка Гнатюка, 12а, Львів","{'lat': 49.8419536, 'lng': 24.0249302}",12а,вулиця Академіка Гнатюка,Галицький,Львів,Львівська,Україна,https://yoki.ua/lviv/,+380 99 159 7777,Ресторан,ChIJMVVkqqzdOkcRoy9qjmxulJY,https://glovoapp.com/ua/uk/lviv/yoki-lvi/,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,323.0,High
142,Happy Bakery,"вулиця Шевченка, 60, Львів","{'lat': 49.8449254, 'lng': 24.0099966}",60,вулиця Шевченка,Шевченківський,Львів,Львівська,Україна,https://www.instagram.com/happybakery_lviv/,+380 96 375 3384,Пекарня,ChIJ3z1pYoTdOkcRsCBB3g28R4w,https://glovoapp.com/ua/uk/lviv/happy-bakery-lvi/,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,130.0,Medium-Low
143,Ribs House,"проспект Червоної Калини, 36, Львів","{'lat': 49.79825950000001, 'lng': 24.0471055}",36,проспект Червоної Калини,Сихівський,Львів,Львівська,Україна,https://ribshouse.choiceqr.com/online-menu,+380 68 631 1681,Ресторан,ChIJPbIvqczpOkcRDbSF1uvpOyc,https://glovoapp.com/ua/uk/lviv/ribs-house-lvi/,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,176.0,Medium-High
144,ÉDES,"площа Ринок, Пасаж Андреоллі, 29, Львів","{'lat': 49.8417015, 'lng': 24.030279}",29,Пасаж Андреоллі,Галицький,Львів,Львівська,Україна,https://instagram.com/edes.lviv?igshid=MzRlODBiNWFlZA==,+380 98 236 7580,Пекарня,ChIJWQtiEl_dOkcRMVOhLzislL0,https://glovoapp.com/ua/uk/lviv/edes-lvi/,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,88.0,Low
145,Піца Отто,"вулиця Любінська, 104, Львів","{'lat': 49.82128240000001, 'lng': 23.9687471}",104,вулиця Любінська,Залізничний,Львів,Львівська,Україна,https://otto.lviv.ua/,+380 97 148 2445,Ресторан,ChIJzZBjm_znOkcRBnKNv3q63ZI,https://glovoapp.com/ua/uk/lviv/pica-otto-lvi/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,129.0,Medium-Low
146,WA Restauran / ВА Ресторан,"Львів, Кн. Романа, 7, вулиця Князя Романа, 7, Львів","{'lat': 49.8367862, 'lng': 24.0339215}",7,вулиця Князя Романа,Галицький,Львів,Львівська,Україна,https://walviv.choiceqr.com/,+380 93 341 8030,Ресторан,ChIJP7S7sfznOkcRTN5aJPXQE3g,https://glovoapp.com/ua/uk/lviv/wa-lvi/,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,272.0,High
147,Coffee lab Чорновола,"проспект В'ячеслава Чорновола, 61, Львів","{'lat': 49.8577091, 'lng': 24.019975}",61,проспект В'ячеслава Чорновола,Шевченківський,Львів,Львівська,Україна,https://www.facebook.com/coffeelablviv/,+380 67 344 4423,Ресторан,ChIJQwjkqv3dOkcRYZIeTC1Mu4A,https://glovoapp.com/ua/uk/lviv/coffee-lab-chornovola-lvi/,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,09:00:00,21:00:00,131.0,Medium-Low
148,Coffee lab Шевченка,"вулиця Шевченка, 17, Львів","{'lat': 49.8445881, 'lng': 24.0091488}",17,вулиця Шевченка,Залізничний,Львів,Львівська,Україна,https://www.facebook.com/coffeelablviv/,+380 67 344 4423,Ресторан,ChIJffU0YLjdOkcR7cPS8RU3qjw,https://glovoapp.com/ua/uk/lviv/coffee-lab-shevchenka-lvi/,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,98.0,Low
149,LVIV HOT DOGS,"вулиця Кульчицької, 4, Львів","{'lat': 49.81717680000001, 'lng': 23.9733586}",4,вулиця Кульчицької,Залізничний,Львів,Львівська,Україна,,,Ресторан,ChIJUdgJZHLnOkcRF4e87pkZAYw,https://glovoapp.com/ua/uk/lviv/lviv-hot-dogs-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,72.0,Low
150,ArtSushi,"вулиця Івана Пулюя, 40, Львів","{'lat': 49.8008506, 'lng': 23.987916}",40,вулиця Івана Пулюя,Франківський,Львів,Львівська,Україна,https://artsushi.lviv.ua/,+380 98 827 8213,Доставка,ChIJN06Ig-HnOkcRy1qnpIwHirQ,https://glovoapp.com/ua/uk/lviv/artsushi-lvi/,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,239.0,High
151,Grain,"вулиця Городоцька, 174, офіс 6, Львів","{'lat': 49.8326607, 'lng': 23.9672227}",174,вулиця Городоцька,Залізничний,Львів,Львівська,Україна,https://grain.lviv.ua/,+380 96 244 3724,,ChIJG-YYOGfnOkcRsKm05LgDnE4,https://glovoapp.com/ua/uk/lviv/grain-lvi/,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,00:00:00,23:59:00,00:00:00,23:59:00,135.0,Medium-Low
152,Restobar Tema /  Рестобар Тема,"вулиця Драгана, 13, Львів","{'lat': 49.7846201, 'lng': 24.055616}",13,вулиця Драгана,Сихівський,Львів,Львівська,Україна,https://restobar-tema.business.site/,+380 97 699 3386,Ресторан,ChIJ3VuibmboOkcRfg0vwjpKvvE,https://glovoapp.com/ua/uk/lviv/restobar-tema-lvi/,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,22:30:00,186.0,Medium-High
153,SHOco.,"вулиця Академіка Андрія Сахарова, 44, Львів","{'lat': 49.828573, 'lng': 24.012112}",44,вулиця Академіка Андрія Сахарова,Франківський,Львів,Львівська,Україна,https://shoco.ua/,+380 50 430 7575,Ресторан,ChIJQblSCX3dOkcRFDXMkqIVjNE,https://glovoapp.com/ua/uk/lviv/shoco1-lvi/,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,141.0,Medium-Low
154,Celentano Pizza  / Піца Челентано,"вул. Галицька, 1, площа Ринок, 21, Львів","{'lat': 49.84101049999999, 'lng': 24.031225}",21,площа Ринок,Галицький,Львів,Львівська,Україна,http://rynok.celentano.delivery/,+380 67 327 4342,Доставка,ChIJ03QLym3dOkcReD-YTX4jdGM,https://glovoapp.com/ua/uk/lviv/celentanolvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,213.0,Medium-High
155,Restobar Fresh,"вулиця Пасічна, 148, Львів","{'lat': 49.8089756, 'lng': 24.0777546}",148,вулиця Пасічна,Сихівський,Львів,Львівська,Україна,https://restobarfresh.choiceqr.com/?fbclid=PAAaaYQSCRo8o_u9tKnc9huPDIK669RwKqmaWw86ZAvJjKIIcVwxFHVxaLxWM,+380 98 015 7587,Ресторан,ChIJFbPqfNbpOkcRCtVvTH9CF4c,https://glovoapp.com/ua/uk/lviv/restobar-fresh-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,122.0,Medium-Low
156,Lounge Cafe Edem / Лаунж Кафе Едем,"вулиця Гетьмана Мазепи, 15А, Львів","{'lat': 49.871233, 'lng': 24.0342008}",15А,вулиця Гетьмана Мазепи,Шевченківський,Львів,Львівська,Україна,https://instagram.com/lounge_cafe_edem?igshid=jns70ocav80n,+380 67 769 8638,Ресторан,ChIJ6esjbMDdOkcRC5TCLo3PcT8,https://glovoapp.com/ua/uk/lviv/lounge-cafe-edem-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,194.0,Medium-High
157,Mii Kebab / Мій Кебаб,"Пантелеймона Куліша, 36а, Львів","{'lat': 49.8490631, 'lng': 24.02488}",36а,Пантелеймона Куліша,Галицький,Львів,Львівська,Україна,https://glovoapp.com/ua/uk/lviv/mii-kebab-lvi/?utm_source=google&utm_medium=cpc&utm_campaign=Google_Performance_UA_ALLOpen_Search_cpa_All_FirstOrder_0_NewUsers_Ukranian__DigitalBudget_NoPromo_0_09032022&utm_campaignid=16522052603&utm_adgroupid=140791549632&utm_term=%28_term%29&utm_matchtype=%28_matchtype%29&utm_device=%28_device%29&gclid=Cj0KCQjw9deiBhC1ARIsAHLjR2DT2Nh4xDb4JmmtB5pIWv7QvXqJjdwRG9J8QU3_rTUwDNd4t3YZpjwaAglcEALw_wcB,+380 68 124 0124,Ресторан,ChIJ6eNDqEwdO0cRmDghwBvUIJ8,https://glovoapp.com/ua/uk/lviv/mii-kebab-lvi/,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,104.0,Low
158,Pizza Celentano Ristorante,"вул. Галицька, 1, площа Ринок, 21, Львів","{'lat': 49.84101049999999, 'lng': 24.031225}",21,площа Ринок,Галицький,Львів,Львівська,Україна,http://rynok.celentano.delivery/,+380 67 327 4342,Доставка,ChIJ03QLym3dOkcReD-YTX4jdGM,https://glovoapp.com/ua/uk/lviv/piza-celentano-ristorante-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,246.0,High
159,Craft & Kumpel',"вулиця Кульпарківська, 200а, Львів","{'lat': 49.8115917, 'lng': 23.9831439}",200а,вулиця Кульпарківська,Залізничний,Львів,Львівська,Україна,http://craft-kumpel.com/,+380 96 828 2222,Ресторан,ChIJFb0GVijnOkcR2VQQ9zUZxC8,https://glovoapp.com/ua/uk/lviv/craft-kumpel-lvi/,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,236.0,High
160,Kvadrat Kebab Чорновола,"проспект В'ячеслава Чорновола, 16д, Львів","{'lat': 49.8561826, 'lng': 24.02659440000001}",16д,проспект В'ячеслава Чорновола,Шевченківський,Львів,Львівська,Україна,https://kvadratkebab.com/,+380 97 010 4010,Ресторан,ChIJucQyKvHdOkcRny9FXf4wUpM,https://glovoapp.com/ua/uk/lviv/kvadrat-kebab-chornovola-lvi/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,92.0,Low
161,New York Street Pizza Zebra,"проспект Червоної Калини, 36, Львів","{'lat': 49.79866850000001, 'lng': 24.0470916}",36,проспект Червоної Калини,Сихівський,Львів,Львівська,Україна,https://nysp.hamily.group/lviv/shuvar/qr,+380 98 135 0601,Ресторан,ChIJv6trs3ToOkcRz92hWkcSrpA,https://glovoapp.com/ua/uk/lviv/new-york-street-pizza-zebra-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,221.0,Medium-High
162,Sushi Icons,"вулиця Княгині Ольги, 98 в, Львів","{'lat': 49.8190153, 'lng': 24.0029083}",98 в,вулиця Княгині Ольги,Франківський,Львів,Львівська,Україна,https://sushiicons.com.ua/lviv/,+380 800 334 746,Доставка,ChIJ_4R0KGvnOkcRLFWJh3Zy3FU,https://glovoapp.com/ua/uk/lviv/sushi-icons-lvi/,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,211.0,Medium-High
163,Old castle / Старий Замок,"вулиця Зелена, 253, Львів","{'lat': 49.80393730000001, 'lng': 24.0656004}",253,вулиця Зелена,Сихівський,Львів,Львівська,Україна,https://girko.net/ru/profile/2308/,+380 67 779 0404,Ресторан,ChIJpU02FRDoOkcRv4r9Iov64Fs,https://glovoapp.com/ua/uk/lviv/starij-zamok-lvi/,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,157.0,Medium-Low
164,Coffee lab Пимоненка,"вулиця Миколи Пимоненка, 1, Львів","{'lat': 49.8092394, 'lng': 24.0621671}",1,вулиця Миколи Пимоненка,Сихівський,Львів,Львівська,Україна,https://www.instagram.com/coffeelabukraine?igshid=MmJiY2I4NDBkZg==,+380 63 344 7275,Ресторан,ChIJfUqp4oHpOkcRUGy9UQkcOTk,https://glovoapp.com/ua/uk/lviv/coffee-lab-pimonenka-lvi/,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,99.0,Low
165,Mama Manana / Мама Манана,"площа Ринок, 39, Львів","{'lat': 49.8425361, 'lng': 24.0312361}",39,площа Ринок,Галицький,Львів,Львівська,Україна,https://mamamanana.com.ua/lviv,+380 95 300 1937,Ресторан,ChIJ_zpvdm7dOkcRpRMgbaxkD6I,https://glovoapp.com/ua/uk/lviv/mama-manana-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,198.0,Medium-High
166,Mood mover,"вулиця Княгині Ольги, 98-В, Львів","{'lat': 49.8190653, 'lng': 24.0030466}",98-В,вулиця Княгині Ольги,Франківський,Львів,Львівська,Україна,https://moodmover.choiceqr.com/takeaway,+380 93 806 6376,Ресторан,ChIJUdkZ_yznOkcRNOWQ1--JVss,https://glovoapp.com/ua/uk/lviv/mood-mover-lvi/,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,138.0,Medium-Low
167,Bar Mushly,"площа Ринок, 35, Львів","{'lat': 49.842475, 'lng': 24.0307391}",35,площа Ринок,Галицький,Львів,Львівська,Україна,https://barmushly.com.ua/,+380 98 985 8898,Ресторан,ChIJl1zin23dOkcR4RrcFJIp2_k,https://glovoapp.com/ua/uk/lviv/bar-mushly-lvi/,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,287.0,High
168,Fat Dragon,"вулиця Героїв УПА, 73 корпус 7 поверх 1, Львів","{'lat': 49.8281435, 'lng': 23.9921408}",Львів,Франківський,Львівська,Україна,,,https://fatdragon.lviv.ua/,+380 95 285 2533,Ресторан,ChIJywgujrTnOkcRcfvhPcLhpCo,https://glovoapp.com/ua/uk/lviv/fat-dragon-lvi/,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,377.0,High
169,Coffee lab Малоголосківська,"вулиця Малоголосківська, 16,а, Львів","{'lat': 49.866207, 'lng': 24.0059909}","16,а",вулиця Малоголосківська,Шевченківський,Львів,Львівська,Україна,https://www.facebook.com/coffeelablviv,+380 97 907 8108,Ресторан,ChIJ-wgGXmvdOkcROm9XeYrZ-4I,https://glovoapp.com/ua/uk/lviv/coffee-lab-malogoloskivska-lvi/,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,08:00:00,21:00:00,79.0,Low
170,Para Dzhanov ta Portvein / Пара Джанов та Портвейн,"вулиця Лесі Українки, 12, Львів","{'lat': 49.8437026, 'lng': 24.0309442}",12,вулиця Лесі Українки,Галицький,Львів,Львівська,Україна,,+380 67 901 1924,Бар,ChIJ7WHao4rdOkcRY-aVA5noy9A,https://glovoapp.com/ua/uk/lviv/para-janov-port-wine-lvi/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,249.0,High
172,Bistro Nectarine/ Бістро Nectarine,"вулиця Липинського, 36, Львів","{'lat': 49.8626113, 'lng': 24.0326646}",36,вулиця Липинського,Шевченківський,Львів,Львівська,Україна,,+380 98 584 3843,Ресторан,ChIJm9U0neXdOkcRHC15YgU6CM8,https://glovoapp.com/ua/uk/lviv/bistro-nectarine-lvi/,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,00:00:00,23:59:00,00:00:00,23:59:00,55.0,Low
173,Frog and Dog,"вулиця Івана Миколайчука, 12, Львів","{'lat': 49.8747611, 'lng': 24.04154}",12,вулиця Івана Миколайчука,Шевченківський,Львів,Львівська,Україна,https://instagram.com/frogdog_lviv?igshid=OGQ5ZDc2ODk2ZA==,+380 98 396 5957,Ресторан,ChIJvRkXMG_dOkcRcHCFMhBCeu8,https://glovoapp.com/ua/uk/lviv/frog-and-dog-lvi/,09:00:00,20:30:00,08:30:00,20:30:00,08:30:00,20:30:00,08:30:00,20:30:00,08:30:00,20:30:00,09:00:00,21:00:00,10:00:00,21:00:00,99.0,Low
175,Gelateria Gelizko,"вулиця Словацького, 16, Львів","{'lat': 49.8386952, 'lng': 24.0228584}",16,вулиця Словацького,Галицький,Львів,Львівська,Україна,http://www.gege.com.ua/,+380 95 821 0592,,ChIJW1nev1LdOkcRMwY_M58R-50,https://glovoapp.com/ua/uk/lviv/gelateria-gelizko-lvi/,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,115.0,Medium-Low
176,еНка / eNkа Cafe,"вулиця Пекарська, 55, Львів","{'lat': 49.8376235, 'lng': 24.0456166}",55,вулиця Пекарська,Личаківський,Львів,Львівська,Україна,https://www.instagram.com/enkacafe/,+380 63 197 0782,Ресторан,ChIJ1xN-nkHdOkcRNFDCFif2D9Q,https://glovoapp.com/ua/uk/lviv/enka-cafe-lvi/,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,00:00:00,23:59:00,00:00:00,23:59:00,99.0,Low
177,Dynamo Blues / Динамо Блюз,"вулиця Василя Стуса, 4, Львів","{'lat': 49.82188999999999, 'lng': 24.038707}",4,вулиця Василя Стуса,Сихівський,Львів,Львівська,Україна,http://dynamoblues.net/,+380 67 353 6322,Ресторан,ChIJD1HInVjdOkcRuRpihjaYkns,https://glovoapp.com/ua/uk/lviv/dynamo-lvi/,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,12:00:00,22:00:00,178.0,Medium-High
178,Royal Hamburger,"вулиця Кульпарківська, 226а, Львів","{'lat': 49.807748, 'lng': 23.9785908}",226а,вулиця Кульпарківська,Залізничний,Львів,Львівська,Україна,http://www.royal-hamburger.com.ua/,+380 97 907 3966,Ресторан,ChIJtxg2CwLnOkcRz-AfOuiMTmQ,https://glovoapp.com/ua/uk/lviv/royal-hamburger-lvi/,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,111.0,Medium-Low
179,OMG Sweets,"вулиця Сербська, 3, Львів","{'lat': 49.8411462, 'lng': 24.0331941}",3,вулиця Сербська,Галицький,Львів,Львівська,Україна,http://www.chocolate.lviv.ua/,+380 50 430 6033,Ресторан,ChIJk6WtXGzdOkcRGqLG3w2Q7Pg,https://glovoapp.com/ua/uk/lviv/glovo-express-cafe-lviv/,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,00:00:00,23:59:00,00:00:00,23:59:00,,High
180,PAN KEBAB / ПАН КЕБАБ,"вулиця Трускавецька, 2г, Львів","{'lat': 49.7984798, 'lng': 24.0104977}",2г,вулиця Трускавецька,Франківський,Львів,Львівська,Україна,https://pan-kebab.choiceqr.com/,+380 93 630 2020,Ресторан,ChIJEV-GPwDnOkcRtZTV53Qw3jo,https://glovoapp.com/ua/uk/lviv/pan-kebab-lvi/,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,85.0,Low
181,7sevenheaven,"проспект Червоної Калини, 56, Львів","{'lat': 49.79515929999999, 'lng': 24.0522866}",56,проспект Червоної Калини,Сихівський,Львів,Львівська,Україна,https://instagram.com/7sevenheaven_coffee?igshid=YmMyMTA2M2Y=,+380 68 347 8945,Ресторан,ChIJizYoRVLpOkcR0VSXufNYeq8,https://glovoapp.com/ua/uk/lviv/7sevenheaven-lvi/,08:30:00,21:00:00,08:30:00,21:00:00,08:30:00,21:00:00,08:30:00,21:00:00,08:30:00,21:00:00,08:30:00,21:00:00,08:30:00,21:00:00,149.0,Medium-Low
182,Budzzini  /  Будзіні,"вулиця Петра Дорошенка, 8, Львів","{'lat': 49.8399247, 'lng': 24.0263229}",8,вулиця Петра Дорошенка,Галицький,Львів,Львівська,Україна,https://budzzini.gazdagroup.com.ua/,+380 67 471 7722,Ресторан,ChIJIRSZ4nHdOkcRHFh_En29R34,https://glovoapp.com/ua/uk/lviv/budzzini-lvi/,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,255.0,High
